timestamp,open,high,low,close,volume
2019-06-21,21.9800,22.4450,21.7000,22.3000,9181765
2019-06-20,22.3300,22.3500,21.6150,21.9200,7398062
2019-06-19,21.9000,22.2400,21.5800,22.1400,8756218
2019-06-18,21.7500,22.2000,21.5500,21.9000,8347294
2019-06-17,21.5000,22.0900,21.3200,21.7200,7624689
2019-06-14,21.7500,21.7500,21.0700,21.5600,9284330
2019-06-13,21.1600,21.9050,21.1315,21.7700,9894483
2019-06-12,21.8900,22.0100,21.2600,21.4500,8994480
2019-06-11,21.5400,21.9300,21.5100,21.9200,9250344
2019-06-10,20.6100,21.7000,20.6000,21.6700,14771612
2019-06-07,20.5000,20.5900,20.2100,20.4300,10144778
2019-06-06,21.0000,21.0000,20.0200,20.4800,14442166
2019-06-05,21.7000,21.7400,20.9600,21.0600,7458204
2019-06-04,21.2700,21.7300,21.2700,21.6200,13136411
2019-06-03,20.5400,21.3000,20.4900,21.1600,9660549
2019-05-31,20.5700,20.6500,20.0500,20.5700,11302740
2019-05-30,21.0500,21.3000,20.6900,20.7500,7866696
2019-05-29,20.8500,21.1400,20.5700,20.9400,8040050
2019-05-28,21.0000,21.3800,20.9100,21.0400,8088789
2019-05-24,21.3200,21.3600,20.8100,21.0100,9620071
2019-05-23,21.5200,21.6400,21.2000,21.2700,10484034
2019-05-22,21.6800,21.8600,21.4300,21.8500,10947734
2019-05-21,21.1900,21.8800,20.8615,21.7700,13046775
2019-05-20,21.5700,21.7100,21.2300,21.5800,10821435
2019-05-17,21.3600,22.2000,21.2300,21.7700,12143189
2019-05-16,21.8000,21.9075,21.3500,21.5000,14595634
2019-05-15,22.2500,22.6800,21.3800,21.7000,33610918
2019-05-14,21.6300,22.0200,21.0800,21.8000,14401013
2019-05-13,22.1700,22.2000,21.4300,21.5800,10852968
2019-05-10,22.5400,22.7200,22.1141,22.4600,8843200
2019-05-09,22.6100,22.9484,22.3700,22.7000,6822902
2019-05-08,22.6800,23.1200,22.4400,22.7200,6905666
2019-05-07,23.0700,23.1500,22.6000,22.7900,7553020
2019-05-06,22.9800,23.2600,22.6600,23.2000,7199478
2019-05-03,23.5500,23.6200,23.2200,23.2400,5575066
2019-05-02,23.3700,23.5800,23.2150,23.4300,5330116
2019-05-01,23.6400,23.9000,23.3700,23.3700,8264698
2019-04-30,24.1000,24.1500,23.5400,23.5400,8351415
2019-04-29,24.3900,24.4950,24.0000,24.0900,4691180
2019-04-26,23.8500,24.3000,23.5800,24.2600,6151369
2019-04-25,24.9800,25.0000,24.0650,24.1300,9189641
2019-04-24,24.5500,25.7600,24.2000,25.0500,12080661
2019-04-23,24.4800,24.7750,24.1000,24.6500,8275226
2019-04-22,25.0800,25.1200,24.1200,24.3300,10141350
2019-04-18,25.0000,25.1900,24.7400,25.0800,4865857
2019-04-17,24.7100,25.3900,24.6600,24.9600,5968852
2019-04-16,24.6400,24.7700,24.4800,24.6500,5787160
2019-04-15,24.3200,24.8800,24.0700,24.5900,6897680
2019-04-12,24.5100,24.8800,24.2500,24.2800,6136916
